order_book_id,date,low,prev_close,limit_up,open,num_trades,high,limit_down,volume,close,total_turnover
601318.XSHG,2010-01-25,18.6386,49.97,20.816,18.7067,26011.0,19.1914,17.0292,45030440.0,18.8393,1126487973.0
601318.XSHG,2010-01-26,18.3659,49.75,20.7251,18.8506,28658.0,18.9302,16.9572,45838482.0,18.4189,1125299581.0
601318.XSHG,2010-01-27,17.9872,48.64,20.2593,18.4833,29797.0,18.5515,16.5786,48275756.0,18.0289,1161090258.0
601318.XSHG,2010-01-28,17.5858,47.61,19.8314,18.0516,36115.0,18.0743,16.2264,62052966.0,17.7184,1458396142.0
601318.XSHG,2010-01-29,17.4192,46.79,19.4906,17.6843,32310.0,17.9835,15.9462,61732350.0,17.5972,1444063444.0
601318.XSHG,2010-02-01,17.6351,46.47,19.3581,17.7828,45290.0,18.169,15.8363,106637872.0,18.1198,2517581806.0
601318.XSHG,2010-02-02,17.9304,47.85,19.9337,18.1766,38519.0,18.7181,16.3097,75978958.0,17.9683,1835316032.0
601318.XSHG,2010-02-03,17.9494,47.45,19.767,18.0819,55578.0,18.8771,16.1734,109726716.0,18.8696,2685926550.0
601318.XSHG,2010-02-04,18.5022,49.83,20.7554,18.631,29209.0,18.862,16.9837,53226362.0,18.6689,1312359241.0
601318.XSHG,2010-02-05,18.1766,49.3,20.5358,18.275,26059.0,18.4227,16.802,47722858.0,18.2031,1150527232.0
601318.XSHG,2010-02-08,18.0289,48.07,20.0245,18.1879,17879.0,18.4379,16.3816,35142010.0,18.2107,847341947.0
601318.XSHG,2010-02-09,18.1766,48.09,20.0321,18.2675,15548.0,18.5931,16.3892,37005402.0,18.453,900331181.0
601318.XSHG,2010-02-10,18.631,48.73,20.2972,18.631,34248.0,18.9718,16.6089,63354910.0,18.9415,1579479629.0
601318.XSHG,2010-02-11,18.8279,50.02,20.8349,18.9264,16827.0,19.1043,17.0481,34037512.0,18.8961,852491378.0
601318.XSHG,2010-02-12,18.8847,49.9,20.7857,19.0097,14911.0,19.0816,17.0065,31300740.0,18.9642,784373958.0
601318.XSHG,2010-02-22,18.5742,50.08,20.8614,18.9302,20101.0,18.9302,17.0671,38224380.0,18.5856,947411987.0
601318.XSHG,2010-02-23,16.7262,49.08,20.4449,18.1349,127185.0,18.1349,16.7262,326781620.0,16.9345,7326993689.0
601318.XSHG,2010-02-24,16.6619,44.72,18.6272,16.7376,63968.0,16.9572,15.2418,134447772.0,16.8929,2987057854.0
601318.XSHG,2010-02-25,16.9383,44.61,18.5818,16.9837,58614.0,17.2564,15.204,122917318.0,17.1239,2775679972.0
601318.XSHG,2010-02-26,16.9762,45.22,18.8355,17.0595,42752.0,17.2526,15.4122,97438320.0,17.0481,2200839829.0
601318.XSHG,2010-03-01,17.1579,45.02,18.7522,17.4117,61565.0,17.7525,15.3441,113402752.0,17.6843,2616181552.0
601318.XSHG,2010-03-02,17.5366,46.7,19.4527,17.6843,32234.0,17.7903,15.9159,67198558.0,17.6389,1564937643.0
601318.XSHG,2010-03-03,17.3965,46.58,19.4035,17.6578,29112.0,17.7222,15.8742,52000774.0,17.5783,1200550511.0
601318.XSHG,2010-03-04,17.0443,46.42,19.3353,17.5934,39104.0,17.6729,15.8212,63284522.0,17.0633,1452330382.0
601318.XSHG,2010-03-05,17.0784,45.06,18.7711,17.1542,23558.0,17.3056,15.3554,49830696.0,17.2261,1131918722.0
601318.XSHG,2010-03-08,17.1996,45.49,18.9491,17.2678,22891.0,17.548,15.5031,45399112.0,17.4798,1045515695.0
601318.XSHG,2010-03-09,17.3056,46.16,19.2293,17.4912,47578.0,18.063,15.7303,83825684.0,17.8168,1966560972.0
601318.XSHG,2010-03-10,17.7411,47.05,19.6004,17.8206,26792.0,18.0819,16.037,61586204.0,17.8888,1456470568.0
601318.XSHG,2010-03-11,17.6199,47.24,19.6762,17.8926,22426.0,18.0668,16.1014,43716088.0,17.7979,1027961522.0
601318.XSHG,2010-03-12,17.6502,47.0,19.5777,17.7903,18964.0,17.938,16.0181,41322960.0,17.6654,969590492.0
601318.XSHG,2010-03-15,17.139,46.65,19.4338,17.6464,27097.0,17.6578,15.9007,52836134.0,17.2715,1206486081.0
601318.XSHG,2010-03-16,17.0481,45.61,18.9983,17.2678,17115.0,17.4117,15.5448,37056842.0,17.2905,842655216.0
601318.XSHG,2010-03-17,17.3473,45.66,19.021,17.3662,56201.0,18.3621,15.5599,108494344.0,18.2978,2572077341.0
601318.XSHG,2010-03-18,18.1387,48.32,20.1268,18.1766,25902.0,18.4341,16.4687,68500742.0,18.1766,1654213818.0
601318.XSHG,2010-03-19,18.0251,48.0,19.9942,18.1955,22101.0,18.3659,16.3589,49306192.0,18.3508,1185927248.0
601318.XSHG,2010-03-22,18.2182,48.46,20.1874,18.3356,16617.0,18.4795,16.5142,45940172.0,18.3243,1114155520.0
601318.XSHG,2010-03-23,17.9872,48.39,20.1571,18.3811,20219.0,18.4227,16.4915,37298454.0,18.0516,894180177.0
601318.XSHG,2010-03-24,18.0516,47.67,19.8579,18.1425,14835.0,18.3659,16.2453,34946188.0,18.1274,839938797.0
601318.XSHG,2010-03-25,17.7979,47.87,19.9412,18.1236,17210.0,18.1236,16.3135,31429756.0,17.8736,743771888.0
601318.XSHG,2010-03-26,17.8358,47.2,19.661,17.8471,25013.0,18.4757,16.0863,57049334.0,18.2675,1377169960.0
601318.XSHG,2010-03-29,18.4076,48.24,20.0927,18.4417,51757.0,19.1914,16.4422,106880272.0,19.0248,2674552882.0
601318.XSHG,2010-03-30,18.9756,50.24,20.9258,19.0286,32340.0,19.3126,17.1239,68001626.0,19.252,1723131042.0
601318.XSHG,2010-03-31,18.9983,50.84,21.1757,19.1801,22084.0,19.2748,17.3283,40759582.0,19.0854,1028863829.0
601318.XSHG,2010-04-01,19.0854,50.4,20.994,19.0854,25832.0,19.5398,17.1769,47830850.0,19.4149,1221550156.0
